"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"388","ACH-000387","TF1","haematopoietic_and_lymphoid_tissue","TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:0060058"
"389","ACH-000388","NUDHL1","haematopoietic_and_lymphoid_tissue","NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"390","ACH-000389","H4","central_nervous_system","H4_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"391","ACH-000390","LUDLU1","lung","LUDLU1_LUNG","lung","LUSC","DOID:1324"
"392","ACH-000391","MHHES1","bone","MHHES1_BONE","bone","SARC","DOID:184"
"393","ACH-000392","CALU3","lung","CALU3_LUNG","lung","LUAD","DOID:1324"
"394","ACH-000393","HLF","liver","HLF_LIVER","liver","LIHC","DOID:3571"
"395","ACH-000394","NCIH2081","lung","NCIH2081_LUNG","lung","SCLC","DOID:1324"
"396","ACH-000395","NCIH520","lung","NCIH520_LUNG","lung","LUSC","DOID:1324"
"397","ACH-000396","J82","urinary_tract","J82_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"398","ACH-000397","TEN","endometrium","TEN_ENDOMETRIUM","uterus","UCEC","DOID:363"
"399","ACH-000398","RI1","haematopoietic_and_lymphoid_tissue","RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"400","ACH-000399","NCIH2196","lung","NCIH2196_LUNG","lung","SCLC","DOID:1324"
"401","ACH-000400","SKCO1","large_intestine","SKCO1_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"402","ACH-000401","COLO800","skin","COLO800_SKIN","skin","SKCM","DOID:4159"
"403","ACH-000402","BL70","haematopoietic_and_lymphoid_tissue","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
